Ticker,Growth (%),CAGR (%),Net Profit Margin (%)
MMM,74.15587004531288,41.56240657815129,16.980671414038657
AOS,-10.29117443796643,-6.577562525666636,13.975537571043189
ABT,26.478878947877504,15.854890005706102,31.94755661501788
ABBV,31.99042344224839,18.99259365572561,7.59399297049739
ACN,-28.941766031720302,-19.26974944289357,11.194426556121764
ADBE,-41.20537461224994,-28.304842051416845,25.854452452917926
AMD,24.664448134046555,14.810823712464005,6.364165212332752
AES,-25.9750147083401,-17.17424343955066,13.674865613292067
AFL,28.398717581118767,16.953537630119374,28.455667084901716
A,-16.465516685352863,-10.659402867526335,19.80030721966206
APD,9.753103332915344,6.00373445864002,31.63644777944895
ABNB,-10.008922897159414,-6.393519600438557,23.851558277787785
AKAM,-39.656057121241645,-27.1269721577732,12.65088314999519
ALB,-47.181082236004045,-32.961022288848284,-21.93292975245494
ARE,-37.95778195112489,-25.84875871027692,10.58951256285032
ALGN,-47.98453149698291,-33.6017280307312,10.536652553180636
ALLE,34.7343610447056,20.53642541859686,15.839563119664918
LNT,34.47086040293747,20.38868408417094,17.33232856066315
ALL,48.25631384622386,27.979354438799376,7.279107853076503
GOOGL,46.65121896971557,27.109531902942653,28.603671811164
GOOG,45.665842403327964,26.573781339858837,28.603671811164
MO,73.61768196633119,41.28817562056286,55.096849931520254
AMZN,48.52932256387564,28.126950800324124,9.287117197186653
AMCR,7.05839821589925,4.365610956499655,5.351906158357771
AEE,43.816395713447015,25.564565504785143,15.505706414797324
AEP,44.523743319417996,25.951123860055603,15.045154224113015
AXP,61.151758374200604,34.84440635754436,15.358837889884608
AIG,17.096559262219944,10.393361721457106,-5.148514851485149
AMT,-0.8482070118309556,-0.5322474593852822,22.26676672722964
AWK,12.721170756550032,7.7907477387863855,22.438087105038427
AMP,36.30697828063133,21.415937876717873,19.699953660797036
AME,12.895769954715085,7.895319483270202,19.825505173471946
AMGN,1.5445768057164244,0.9649069929882126,12.236716132120632
APH,130.07946954016106,68.54535738487455,15.923587799798986
ADI,18.70097660205375,11.338579945254178,17.346406769294283
AON,29.056434991590933,17.32850977306444,16.906612307300293
APA,-40.31999871663288,-27.630334403465685,8.257163397350313
APO,58.7805286998043,33.597904242079515,17.526997013096423
AAPL,24.450313500375113,14.687232327818567,23.971255769943866
AMAT,21.314849324702994,12.86834835102686,26.409331763320576
APTV,-25.806806161254453,-17.05638174831644,9.065083954750671
ACGL,23.6491164276104,14.224101733987403,25.4695806261075
ADM,-15.86039773063379,-10.254491921670272,2.104524728165556
ANET,140.42147891379773,73.25272607913722,40.725325446592144
AJG,30.289686800427724,18.029682444920514,12.658698906957222
AIZ,22.494619396434484,13.55477052456726,6.400336771206063
T,78.68292589086086,43.85675193039042,8.949123724823437
ATO,45.87734168509738,26.688887588320576,25.03837162653201
ADSK,24.158550631390092,14.51870859404638,18.137334855651606
ADP,35.27510406055532,20.839275364632638,19.842030261321245
AZO,57.1018069733064,32.711231028301754,14.399071987490933
AVB,4.3397594906853545,2.6972549212669117,37.133982003303636
AVY,-12.196137422070983,-7.8254055778493985,8.050755507840607
AXON,234.81698670727428,113.20252239298978,18.104647913159308
BKR,33.049769617670854,19.590025048889913,10.704660605842827
BALL,-3.210098793075469,-2.0233667007131917,33.980500211954215
BAC,40.88012724157035,23.952270610339752,26.62950131027511
BAX,-36.60510167217518,-24.839985495801997,-6.101918014291087
BDX,-18.966919627940467,-12.344961883833317,8.449796808405194
BBY,-4.371758807918325,-2.7617312985472875,2.23222885763822
TECH,-33.80148549360373,-22.774403556630375,14.50356323227443
BIIB,-51.189719345655504,-36.19538898681939,16.86871505493029
BLK,45.47727401524364,26.471102340019325,31.209878963100895
BX,38.000930628878855,22.359079865562514,25.401379986716115
XYZ,1.620047284920167,1.0119128776427067,12.010449958382829
BK,106.00438789169968,57.269272648702696,24.81104173512981
BA,-8.992691405954771,-5.732660835502479,-17.765383285475895
BKNG,57.28641152900044,32.80890870467567,24.77779181936897
BSX,78.31950054902225,43.673373118790714,11.070639517525526
BMY,-5.257939036080822,-3.327252530456648,-18.525879917184266
AVGO,186.29847904442425,93.28471927020215,11.430177996664986
BR,36.2092843813941,21.361411722619096,12.18591688319229
BRO,33.52647975552312,19.8582916914968,21.105207226354942
BLDR,-20.06288968130187,-13.089586299746347,6.572351609939507
BG,-14.362196360552945,-9.25663274985482,2.1409203886420127
BXP,-4.319001907202068,-2.7281260386536332,0.41881387520508584
CHRW,39.49918017988378,23.18966268454059,2.6273125868408362
CDNS,33.914037935358685,20.07612490897841,22.741304954857124
CZR,-49.68605791186436,-34.97093755141972,-2.4722098710538014
CPT,11.0822269458501,6.806176221903604,10.57705386950219
CPB,-22.685949590475914,-14.887409662008654,5.884184308841843
COF,61.208618010111095,34.87421176194929,12.144610349764779
CAH,57.309440932802126,32.821090982347975,0.37561665939240035
KMX,-27.87401406091461,-18.511866986605476,1.899396738639615
CCL,64.08328130136547,36.37601272781019,7.657567643179728
CARR,19.1232648041008,11.58656975884762,24.922173797029263
CAT,46.342976821595734,26.94208514770451,16.65200820873644
CBOE,44.275373965332946,25.815473175061456,18.681157650506776
CBRE,66.7024156420755,37.73578431618012,2.706405345709732
CDW,-24.821552733257644,-16.368020078092837,5.132698690871339
COR,38.51853070853324,22.6464002300649,0.5133784162578622
CNC,-66.69269875997269,-49.78071180386118,2.026724555561688
CNP,39.45935696398572,23.16762917061681,11.789887770450076
CF,2.9136147699798753,1.8155801942469019,20.5188679245283
CRL,-36.50373298050627,-24.76471436403682,0.2542476041292952
